 Server listening on port 3000
 MongoDB connected
 Server listening on port 3000
 MongoDB connected
 Server listening on port 3000
 MongoDB connected
 Server listening on port 3000
 MongoDB connected
 Socket connected: aSMEkzRKJa7cxRzOAAAB
 Socket connected: 65sJaIVA9leMVMQSAAAD
 Socket connected: XV_Y8idTLrLsoTCxAAAF
 Socket connected: LRxDB2kjWLrqDwgRAAAH
 Socket connected: QNDw0yIY9B3C4jlLAAAJ
 Socket connected: ozRfrhLu0wBssSMyAAAL
 Socket connected: EjvoGNK2PBiDkoQ4AAAN
 Socket connected: c3PE3Yxsg_xXvWeAAAAP
 Socket connected: YlhRFEYQhK6n-b5aAAAR
 Socket connected: m1Enr8GIJJrLXNtOAAAT
 Socket connected: ZwG4AVS6sKOUmbKfAAAV
 Socket connected: TIWokK2eWMDHG2h1AAAX
 Socket connected: y1BHd3q0uF5nAEWlAAAZ
 Socket connected: t7oTDMaMleW05hNfAAAb
 Socket connected: bI6TyIDtg-69kqNEAAAd
 Socket connected: TtD3M_Qt5FDn5ZPFAAAf
 Socket connected: JRWt-vr5bUvmtPHzAAAh
 Socket connected: Viw1Jgv7fk-HFkl5AAAj
 Socket connected: iS5SWwIUhkgzPF2DAAAl
 Socket connected: izjNt2ACrU-gifekAAAn
 Socket connected: xsefnVGz8f3YLZegAAAp
 Socket connected: 1SgfbrN1IedttMOpAAAr
 Socket connected: jKHwjKTXGoQuy_0SAAAt
 Socket connected: FqDsM2beFBdhXhGiAAAv
 Socket connected: BGb4iTN709cTimhAAAAx
 Socket connected: xJLcHNVphNJyYeD5AAAz
 Socket connected: IE40OlkRwuYgJpL-AAA1
 Socket connected: HK5G7gHJCXU8K0MNAAA3
 Socket connected: vYDbVlr3uMLjdYt3AAA5
 Socket connected: WSJqJOEmELqvADfTAAA7
 Socket connected: Zy-E9aNChqR9TS6PAAA9
 Socket connected: q2M4_UBCYAT72Z6RAAA_
 Socket connected: DM8mccAPcGY0MvynAABB
 Socket connected: yS7XADFvX1c7WYQbAABD
 Socket connected: neuxYEbxYZ0LYXCWAABF
 Socket connected: l1P8f1uk-y5PQGbLAABH
 Socket connected: qyfThx_O0nIk81XdAABJ
 Socket connected: 3FAK_jwkxOYXrDorAABL
 Socket connected: Pz8dh2-AKFK28dzzAABN
 Socket connected: JKqPXKccPgAwaftzAABP
 Socket connected: eLW0DiH0N6kihqJwAABR
 Socket connected: bY35j82777SSC9IeAABT
 Socket connected: Vxdtqq3KAE-bn25RAABV
 Socket connected: e0LhUOi0CCBwdpdbAABX
 Socket connected: B_czi7P-Vf-6oyOOAABZ
